Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Ancient Greek I - 49503 - GRK 001 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48489 - GRK 091 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48901 - GRK 171 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48903 - GRK 291 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
