Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
The Cultural Evolution of Latin America - 46365 - LAS 152 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew R.  Bush (P),,,,,,,
Business Spanish - 49495 - LAS 211 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Antonio   Prieto (P),,,,,,,
Latino Arts & Culture in Usa - 49209 - LAS 227 - 010,Class,9:20 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricardo   Viera (P),,,,,,,
Insurrection Revolution Lat Am - 49419 - LAS 395 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Javier   Puente Valdivia (P),,,,,,,
The Boom and Beyond - 49497 - LAS 397 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew R.  Bush (P),,,,,,,
