Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Greek History - 45045 - CLSS 021 - 010,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Classical Epic - 49092 - CLSS 052 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48891 - CLSS 091 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48892 - CLSS 171 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Greek Archaeology - 49373 - CLSS 174 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Small (P),,,,,,,
Special Topics - 48893 - CLSS 191 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Fig/ThAncPhil:SocratesLife&Dea - 49286 - CLSS 231 - 010,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Roslyn E.  Weiss (P),,,,,,,
Independent Study - 48894 - CLSS 291 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
