Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Japanese I - 40610 - JPNS 001 - 110,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P),Class Activity 1,10:45 am - 11:35 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P)
Elementary Japanese I - 40611 - JPNS 001 - 111,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P),Class Activity 1,1:10 pm - 2:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P)
Elementary Japanese I - 42862 - JPNS 001 - 210,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P),Class Activity 1,10:45 am - 11:35 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P)
Elementary Japanese I - 42863 - JPNS 001 - 211,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P),Class Activity 1,1:10 pm - 2:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Kyoko   Taniguchi (P)
Intermediate Japanese I - 40300 - JPNS 011 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Advanced Japanese Reading and Writing I - 47890 - JPNS 131 - 010,Class,2:10 pm - 3:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Advanced Spoken Japanese - 47891 - JPNS 151 - 010,Class,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Japanese Special Topics - 41427 - JPNS 290 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kyoko   Taniguchi (P),,,,,,,
