Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Italian I-DESALES - 47609 - ITAL 101 - 010,Class,12:00 pm - 12:59 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Videoconferencing,Teaching   Staff (P),,,,,,,
Elementary Italian I-DESALES - 47610 - ITAL 101 - 011,Class,1:00 pm - 1:59 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Videoconferencing,Teaching   Staff (P),,,,,,,
Intermediate Italian I - 48357 - ITAL 201 - 010,Class,2:00 pm - 2:59 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Videoconferencing,Teaching   Staff (P),,,,,,,
