Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
South Mountain College Seminar - 44755 - SMC 010 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Benjamin G.  Wright (P),,,,,,,
South Mountain College Investigations - 44756 - SMC 050 - 010,Class,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
South Mountain College Advanced Seminar - 44757 - SMC 200 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Benjamin G.  Wright (P),,,,,,,
South Mountain College Advanced Investigations - 44758 - SMC 250 - 010,Class,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Cameron   Wesson (P),,,,,,,
