Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Supervised Research - 41139 - PSYC 161 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Diane T.  Hyland (P),,,,,,,
Supervised Research - 41140 - PSYC 161 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Barbara C.  Malt (P),,,,,,,
Supervised Research - 46014 - PSYC 161 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Dominic J.  Packer (P),,,,,,,
Supervised Research - 41141 - PSYC 161 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Gordon B.  Moskowitz (P),,,,,,,
Supervised Research - 41312 - PSYC 161 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Ageliki   Nicolopoulou (P),,,,,,,
Supervised Research - 41313 - PSYC 161 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Padraig G  O'Seaghdha (P),,,,,,,
Supervised Research - 47543 - PSYC 161 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Amanda C.  Brandone (P),,,,,,,
Supervised Research - 43624 - PSYC 161 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Catherine M.  Arrington (P),,,,,,,
Supervised Research - 43625 - PSYC 161 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Deborah   Laible (P),,,,,,,
Supervised Research - 43626 - PSYC 161 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Timothy A.  Lomauro (P),,,,,,,
Supervised Research - 46016 - PSYC 161 - 024,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Almut   Hupbach (P),,,,,,,
Supervised Research - 47065 - PSYC 161 - 025,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Jessecae   Marsh (P),,,,,,,
Child Development Recitation - 49529 - PSYC 182 - 010,Class,1:10 pm - 2:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Amanda C.  Brandone (P),,,,,,,
Cognitive Psychology Recitation - 49530 - PSYC 183 - 010,Class,1:10 pm - 2:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Jessecae   Marsh (P),,,,,,,
Personality Recitation - 49531 - PSYC 185 - 010,Class,2:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Michael J.  Gill (P),,,,,,,
Experimental Research Methods and Laboratory - 40548 - PSYC 210 - 060,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Padraig G  O'Seaghdha (P),,,,,,,
