Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Freshman Seminar - 46427 - ASIA 090 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David W.  Pankenier (P),,,,,,,
Trad Crafts & Tech in China - 49029 - ASIA 097 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dongning   Wang (P),,,,,,,
Eastern Philosophy - 49560 - ASIA 140 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricki L.  Bliss (P),,,,,,,
Buddhist Visions of a Good Society - 49341 - ASIA 234 - 010,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kenneth L.  Kraft (P),,,,,,,
Advanced Readings in Asian Studies - 46793 - ASIA 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kiri   Lee (P),,,,,,,
Special Topics in Asian Studies - 46799 - ASIA 381 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kiri   Lee (P),,,,,,,
Senior Seminar in Asian Studies - 46800 - ASIA 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Kiri   Lee (P),,,,,,,
Senior Thesis in Asian Studies - 46805 - ASIA 399 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Kiri   Lee (P),,,,,,,
