Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Macro and Micro View of Engineering - 44924 - EMC 001 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karl H  Norian (P),,,,,,,
Engineering Structures and Motion - 49244 - EMC 105 - 010,Class,2:30 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David C.  Angstadt (P),,,,,,,
"Computers, the Internet, and Society - 46880 - EMC 252 - 010",Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
