Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Arabic I - 44388 - ARAB 001 - 010,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Kalleeny (P),Class Activity 1,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Kalleeny (P)
Intermediate Arabic I - 44389 - ARAB 011 - 010,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Kalleeny (P),Class Activity 1,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Kalleeny (P)
Third Year Arabic I - 47884 - ARAB 231 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Kalleeny (P),,,,,,,
