Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Integrated Business and Engineering Freshman Seminar - 44105 - IBE 010 - 010,Class,1:10 pm - 2:25 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,"Stephen G.  Buell (P), Robert H.  Storer ",,,,,,,
Integrated Business and Engineering Sophomore Laboratory - 44106 - IBE 150 - 060,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Stephen G.  Buell (P),,,,,,,
Integrated Business and Engineering Sophomore Laboratory - 44107 - IBE 150 - 061,Class,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Stephen G.  Buell (P),,,,,,,
Integrated Business and Engineering Independent Study - 48928 - IBE 171 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Pasquale J.  Costa (P),,,,,,,
Integrated Business and Engineering Junior Laboratory - 44108 - IBE 250 - 060,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Robert H.  Storer (P),,,,,,,
Integrated Business and Engineering Capstone Project I - 44110 - IBE 380 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pasquale J.  Costa (P),,,,,,,
Integrated Business and Engineering Capstone Project II - 44111 - IBE 385 - 010,Class,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pasquale J.  Costa (P),Class Activity 1,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pasquale J.  Costa (P)
