Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Latin I - 41376 - LAT 001 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Small (P),,,,,,,
Intermediate Latin - 40301 - LAT 011 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48904 - LAT 091 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Latin Prose - 49504 - LAT 112 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48895 - LAT 171 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
Independent Study - 48905 - LAT 291 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barbara R.  Pavlock (P),,,,,,,
