Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Independent Study in Materials - 48284 - MAT 310 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Jeffrey M.  Rickman (P),,,,,,,
Independent Study in Materials - 48285 - MAT 310 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard P.  Vinci (P),,,,,,,
Independent Study in Materials - 48286 - MAT 310 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Masashi   Watanabe (P),,,,,,,
Independent Study in Materials - 49059 - MAT 310 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nicholas   Strandwitz (P),,,,,,,
Physical Properties of Structural and Electronic Ceramics - 41704 - MAT 315 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Martin P.  Harmer (P),,,,,,,
Optical Properties Of Material - 48931 - MAT 316 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christopher J.  Kiely (P),,,,,,,
Inorganic Biomaterials - 48194 - MAT 325 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Industrial Project - 40710 - MAT 327 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Industrial Project - 40711 - MAT 329 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Basics of Materials Science and Engineering - 46201 - MAT 332 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Masashi   Watanabe (P),,,,,,,
Electron Microscopy and Microanalysis - 40317 - MAT 334 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,"Christopher J.  Kiely (P), Charles E.  Lyman ",Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,"Christopher J.  Kiely (P), Charles E.  Lyman "
Physical Polymer Science - 48379 - MAT 393 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Raymond A.  Pearson (P),,,,,,,
Modeling and Simulaton in Engineering - 48828 - MAT 397 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey M.  Rickman (P),,,,,,,
Thermodynamics and Kinetics I - 46135 - MAT 401 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,"Masashi   Watanabe (P), Jeffrey M.  Rickman ",Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,"Masashi   Watanabe (P), Jeffrey M.  Rickman "
Current Topics in Materials - 41185 - MAT 409 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles E.  Lyman (P),,,,,,,
Optical Properties of Materials - 48830 - MAT 416 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Christopher J.  Kiely (P),,,,,,,
Inorganic Biomaterials - 48831 - MAT 425 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Wojciech Z.  Misiolek (P),,,,,,,
Nanotechnology Engineering Project - 40674 - MAT 460 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles E.  Lyman (P),,,,,,,
Mechanical Behavior of Polymers - 49311 - MAT 482 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Raymond A.  Pearson (P),,,,,,,
Mechanical Behavior of Polymers - 49356 - MAT 482 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Raymond A.  Pearson (P),,,,,,,
Thesis - 40881 - MAT 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Raymond A.  Pearson (P),,,,,,,
Modeling and Simulation in Engineering - 48829 - MAT 497 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey M.  Rickman (P),,,,,,,
Dissertation - 40712 - MAT 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Raymond A.  Pearson (P),,,,,,,
