Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary German I - 40263 - GERM 001 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Birgit I.  Laramie (P),Class Activity 1,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Birgit I.  Laramie (P)
Intermediate German I - 40264 - GERM 011 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elzbieta   Mc Donald (P),,,,,,,
Conversation & Composition - 49490 - GERM 167 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera S.  Stegmann (P),,,,,,,
Contemporary Germany - 49491 - GERM 240 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera S.  Stegmann (P),,,,,,,
German Special Topics - 42453 - GERM 250 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera S.  Stegmann (P),,,,,,,
German Special Topics - 42858 - GERM 350 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera S.  Stegmann (P),,,,,,,
