Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Design of Experiments - 49216 - ISE 410 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Eugene   Perevalov (P),,,,,,,
Design of Experiments - 49215 - ISE 410 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Eugene   Perevalov (P),,,,,,,
Quantitative Models of Supply Chain Management - 49365 - ISE 412 - 010,Class,11:10 am - 12:25 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence V  Snyder (P),,,,,,,
Dynamic Programming - 49366 - ISE 416 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Boris   Defourny (P),,,,,,,
Integer Programming - 49367 - ISE 418 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Theodore K.  Ralphs (P),,,,,,,
Planning & Scheduling in Manufacturing & Services - 49368 - ISE 419 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George R.  Wilson (P),,,,,,,
Optimization Models & Applications - 49328 - ISE 426 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Katya   Scheinberg (P),,,,,,,
Management Science Project - 49329 - ISE 430 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George R.  Wilson (P),,,,,,,
Financial Engineering Projects - 49357 - ISE 441 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Luis   Zuluaga (P),,,,,,,
Engineering Project - 49358 - ISE 460 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George R.  Wilson (P),,,,,,,
