Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Special Topics - 43591 - POLS 381 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Vera L.  Fennell (P),,,,,,,
Special Topics - 45969 - POLS 381 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Albert H.  Wurth (P),,,,,,,
Special Topics - 46693 - POLS 381 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Holona L.  Ochs (P),,,,,,,
Special Topics - 48042 - POLS 381 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Saladin M.  Ambar (P),,,,,,,
Envir Valuation Policy Design - 49165 - POLS 396 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Breena   Holland (P),,,,,,,
Seminar:  Urban Policy and Planning - 45694 - POLS 398 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen B  Pooley (P),,,,,,,
Introduction to Politics and Policy - 45979 - POLS 401 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Richard K.  Matthews (P),,,,,,,
Methods Of Policy Analysis - 48750 - POLS 402 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Holona L.  Ochs (P),,,,,,,
"Creativity, Ideas, and Methods in Political Science - 48751 - POLS 403 - 010",Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Janet M.  Laible (P),,,,,,,
"Propaganda, Media & American Politics - 48040 - POLS 429 - 010",Class,1:10 pm - 2:25 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edward P.  Morgan (P),Class Activity 1,1:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edward P.  Morgan (P)
The Rise of the State in Modern East Asia - 49162 - POLS 439 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera L.  Fennell (P),,,,,,,
Domination - 49164 - POLS 440 - 010,Class,12:45 pm - 2:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Nandini   Deo (P),,,,,,,
Community Fellowship I - 41711 - POLS 464 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kimberley   Carrell-Smith (P),,,,,,,
Special Topics - 40799 - POLS 481 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nandini   Deo (P),,,,,,,
Special Topics - 43594 - POLS 481 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Frank L.  Davis (P),,,,,,,
Special Topics - 43595 - POLS 481 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Breena   Holland (P),,,,,,,
Special Topics - 43596 - POLS 481 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Janet M.  Laible (P),,,,,,,
Special Topics - 43597 - POLS 481 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard K.  Matthews (P),,,,,,,
Special Topics - 43598 - POLS 481 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Edward P.  Morgan (P),,,,,,,
Special Topics - 43599 - POLS 481 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Laura K  Olson (P),,,,,,,
Special Topics - 43601 - POLS 481 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Vera L.  Fennell (P),,,,,,,
Special Topics - 45985 - POLS 481 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Albert H.  Wurth (P),,,,,,,
Special Topics - 46696 - POLS 481 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Holona L.  Ochs (P),,,,,,,
Special Topics - 48047 - POLS 481 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Saladin M.  Ambar (P),,,,,,,
Thesis - 40939 - POLS 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Nandini   Deo (P),,,,,,,
Thesis - 43606 - POLS 490 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Frank L.  Davis (P),,,,,,,
Thesis - 43607 - POLS 490 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Breena   Holland (P),,,,,,,
Thesis - 43608 - POLS 490 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Janet M.  Laible (P),,,,,,,
Thesis - 43609 - POLS 490 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Richard K.  Matthews (P),,,,,,,
Thesis - 43610 - POLS 490 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Edward P.  Morgan (P),,,,,,,
Thesis - 43611 - POLS 490 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Laura K  Olson (P),,,,,,,
Thesis - 43613 - POLS 490 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Vera L.  Fennell (P),,,,,,,
Thesis - 45986 - POLS 490 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Albert H.  Wurth (P),,,,,,,
Thesis - 46697 - POLS 490 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Holona L.  Ochs (P),,,,,,,
Thesis - 48048 - POLS 490 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Saladin M.  Ambar (P),,,,,,,
Environmental Valuation Policy Design - 49166 - POLS 496 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Breena   Holland (P),,,,,,,
Seminar: Urban Policy and Planning - 47299 - POLS 498 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen B  Pooley (P),,,,,,,
