Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Challenges of Sustainable Development - 48986 - SDEV 010 - 010,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark   Orrs (P),,,,,,,
Challenges of Sustainable Development - 49563 - SDEV 010 - 011,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark   Orrs (P),,,,,,,
"Sustainable Development Solutions, I - 49564 - SDEV 201 - 010",Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark   Orrs (P),,,,,,,
"Sustainable Development Solutions, II - 48988 - SDEV 202 - 010",Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark   Orrs (P),,,,,,,
Research in Sustainable Development - 48989 - SDEV 203 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Mark   Orrs (P),,,,,,,
Independent Study in Sustainable Development - 48990 - SDEV 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Mark   Orrs (P),,,,,,,
